customer_id,city,acquisition_channel,order_count,net_gmv,first_order_date,retained_90d_raw
C100050,New Roberttown,Social Media,1,102.53,2025-03-13,0
C100051,North Judithbury,App Store,1,1812.75,2024-12-15,0
C100052,North Noahstad,App Store,18,10287.48,2023-12-25,1
C100053,North Judithbury,Organic,1,679.11,2025-06-06,0
C100054,Robinsonshire,Organic,53,38668.08,2025-01-29,1
C100055,North Noahstad,Social Media,10,5715.23,2025-04-22,1
C100056,Robinsonshire,Social Media,1,511.56,2024-10-02,0
C100057,Robinsonshire,Paid Search,1,1435.98,2025-05-18,0
C100058,East Jessetown,Organic,1,287.91,2023-10-25,0
C100059,East Jill,Paid Search,1,1327.14,2024-05-15,0
C100060,Robinsonshire,Organic,1,351.62,2023-08-11,0
C100061,Ericmouth,Organic,18,14217.95,2024-01-01,0
C100062,North Judithbury,Paid Search,10,10290.45,2023-07-20,1
C100063,Ericmouth,Paid Search,1,2089.35,2025-07-01,0
C100064,Lake Debra,Paid Search,1,841.43,2023-11-05,0
C100065,Robinsonshire,Referral,1,380.47,2023-10-18,0
C100066,East Jill,Organic,1,427.9,2023-08-31,0
C100067,Lisatown,Social Media,1,154.96,2024-09-03,0
C100068,East Jill,Paid Search,1,62.51,2025-05-31,0
C100069,New Roberttown,App Store,1,805.47,2024-11-20,0
C100070,Lake Roberto,Referral,11,7060.07,2025-02-27,1
C100071,North Judithbury,App Store,1,523.85,2024-03-24,0
C100072,Lake Debra,Referral,21,9831.21,2023-10-27,1
C100073,Robinsonshire,Organic,1,262.28,2024-01-25,0
C100074,East Jill,Social Media,20,11107.6,2024-12-14,1
C100075,New Roberttown,Organic,1,202.8,2023-10-23,0
C100076,East Jessetown,Social Media,27,13854.01,2024-07-06,1
C100077,Lisatown,Social Media,1,382.66,2023-08-06,0
C100078,North Noahstad,App Store,13,8045.63,2023-09-23,0
C100079,Ericmouth,Organic,30,17401.92,2025-06-16,1
C100080,East Jill,Paid Search,1,2515.45,2024-04-25,0
C100081,North Judithbury,App Store,1,301.09,2024-05-21,0
C100082,North Judithbury,Paid Search,1,747.4,2024-02-06,0
C100083,Robinsonshire,Organic,1,440.7,2024-02-03,0
C100084,East Jill,App Store,16,16311.16,2024-11-18,1
C100085,New Roberttown,Paid Search,1,162.98,2023-11-17,0
C100086,Ericmouth,Organic,1,252.78,2024-07-16,0
C100087,Ericmouth,Organic,1,926.75,2023-12-18,0
C100088,Ericmouth,Paid Search,11,5402.8,2023-08-04,1
C100089,New Roberttown,App Store,1,348.92,2024-07-25,0
C100090,Lisatown,Organic,6,5320.67,2023-11-12,1
C100091,Lisatown,Paid Search,1,338.82,2023-12-31,0
C100092,East Jill,Referral,1,422.01,2025-03-01,0
C100093,Robinsonshire,Social Media,19,9847.79,2024-01-17,1
C100094,Robinsonshire,Social Media,1,1660.58,2024-10-13,0
C100095,East Jessetown,Social Media,1,261.48,2025-06-24,0
C100096,Lake Roberto,App Store,1,153.47,2024-04-22,0
C100097,Lisatown,Referral,1,507.75,2024-09-08,0
C100098,Robinsonshire,Paid Search,1,71.52,2023-09-16,0
C100099,Lake Roberto,Paid Search,1,1551.07,2023-09-20,0
C100100,Lake Roberto,Organic,1,1212.75,2025-01-03,0
C100101,Robinsonshire,Organic,50,21155.13,2025-01-04,1
C100102,New Roberttown,App Store,1,901.9,2024-01-18,0
C100103,Lake Roberto,Referral,28,30246.36,2023-08-29,1
C100104,Lake Roberto,Paid Search,1,537.76,2024-02-27,0
C100105,North Noahstad,Paid Search,23,19954.32,2024-02-21,1
C100106,East Jill,Organic,1,327.54,2024-03-12,0
C100107,Lake Debra,Paid Search,36,24433.65,2024-03-07,1
C100108,North Noahstad,Paid Search,9,8939.86,2025-04-24,1
C100109,Robinsonshire,Social Media,1,338.04,2024-11-20,0
C100110,North Noahstad,Paid Search,1,122.65,2023-10-27,0
C100111,North Judithbury,Organic,40,27512.85,2023-08-30,1
C100112,North Judithbury,Paid Search,1,203.35,2025-05-24,0
C100113,Lake Roberto,Referral,12,8133.71,2024-08-26,1
C100114,East Jessetown,App Store,13,7614.48,2023-11-28,1
C100115,Robinsonshire,App Store,1,366.04,2024-07-24,0
C100116,Lake Debra,Organic,1,533.88,2023-11-30,0
C100117,Lake Debra,Social Media,1,615.59,2024-03-02,0
C100118,North Noahstad,App Store,1,89.44,2024-03-29,0
C100119,North Judithbury,App Store,1,51.32,2024-06-20,0
C100120,Lake Roberto,App Store,34,19804.03,2024-11-26,1
C100121,Ericmouth,Organic,0,0.0,,0
C100122,Lisatown,Organic,1,479.04,2023-10-25,0
C100123,East Jessetown,Organic,1,635.13,2025-06-18,0
C100124,East Jill,Paid Search,20,16182.29,2024-02-01,1
C100125,Lisatown,Social Media,15,5466.93,2024-11-07,1
C100126,Lake Debra,App Store,1,482.41,2024-04-26,0
C100127,East Jill,Social Media,1,3788.49,2024-02-07,0
C100128,East Jessetown,Social Media,1,451.38,2024-09-14,0
C100129,North Noahstad,Organic,26,17421.71,2025-02-06,1
C100130,New Roberttown,Referral,1,110.6,2024-06-13,0
C100131,East Jill,App Store,11,8980.51,2024-05-31,1
C100132,Lisatown,Organic,33,21517.13,2024-08-18,1
C100133,East Jill,Paid Search,1,470.22,2023-09-11,0
C100134,North Noahstad,Organic,1,166.41,2023-11-08,0
C100135,Ericmouth,App Store,1,362.12,2023-10-18,0
C100136,North Noahstad,App Store,1,1047.11,2024-03-18,0
C100137,North Noahstad,Social Media,23,11807.48,2024-08-23,1
C100138,New Roberttown,Paid Search,15,9224.47,2024-08-07,1
C100139,New Roberttown,Organic,1,1073.09,2023-10-29,0
C100140,East Jessetown,Referral,26,30198.0,2024-11-10,1
C100141,Lake Debra,Social Media,26,21936.21,2025-03-02,1
C100142,Ericmouth,Organic,1,245.17,2025-02-10,0
C100143,Lake Roberto,Referral,28,19411.93,2023-11-03,1
C100144,Lisatown,Social Media,27,13077.66,2024-02-27,1
C100145,Ericmouth,Referral,1,177.18,2024-04-02,0
C100146,Lisatown,Organic,1,779.65,2023-10-06,0
C100147,East Jessetown,App Store,1,261.98,2024-08-15,0
C100148,Lake Debra,App Store,1,329.71,2025-04-25,0
C100149,Robinsonshire,Paid Search,37,27937.42,2025-06-28,1
C100150,North Judithbury,Organic,11,4559.79,2024-06-18,1
C100151,Lake Roberto,Organic,1,304.08,2023-08-08,0
C100152,Lisatown,Social Media,5,2607.46,2025-02-19,1
C100153,Lake Roberto,Paid Search,1,268.08,2024-10-10,0
C100154,Robinsonshire,Organic,1,358.52,2025-02-25,0
C100155,Lake Roberto,Social Media,1,74.58,2024-07-05,0
C100156,North Noahstad,Social Media,1,531.01,2024-10-15,0
C100157,Robinsonshire,Organic,1,1469.18,2024-06-01,0
C100158,Lake Debra,Referral,1,244.24,2024-01-01,0
C100159,East Jill,Social Media,1,2517.03,2023-12-25,0
C100160,Lake Roberto,Organic,6,2855.2,2025-01-22,1
C100161,North Noahstad,Organic,27,10783.48,2023-07-07,1
C100162,Lisatown,App Store,1,55.95,2025-03-19,0
C100163,Ericmouth,Organic,21,7483.41,2025-02-11,1
C100164,Ericmouth,Organic,1,94.66,2025-01-12,0
C100165,Lake Roberto,App Store,9,5702.71,2025-01-04,1
C100166,Robinsonshire,Paid Search,1,3929.22,2025-03-12,0
C100167,North Judithbury,Social Media,1,393.34,2023-09-22,0
C100168,North Judithbury,Organic,1,632.81,2024-07-06,0
C100169,New Roberttown,Organic,17,8950.06,2024-08-03,1
C100170,Lake Debra,Paid Search,1,222.33,2024-07-02,0
C100171,Lake Roberto,Social Media,1,303.92,2024-03-05,0
C100172,Lake Debra,Social Media,1,139.16,2025-04-01,0
C100173,North Judithbury,Referral,1,41.06,2023-09-24,0
C100174,New Roberttown,Referral,1,570.77,2024-04-02,0
C100175,North Noahstad,Organic,9,6713.49,2024-06-02,1
C100176,North Noahstad,Paid Search,1,422.47,2023-11-15,0
C100177,East Jessetown,Paid Search,1,3789.2,2023-07-09,0
C100178,Ericmouth,Organic,1,970.68,2025-02-24,0
C100179,Lake Roberto,Social Media,1,244.02,2024-06-10,0
C100180,North Noahstad,Paid Search,1,237.17,2023-07-28,0
C100181,Ericmouth,Paid Search,1,1312.26,2023-10-18,0
C100182,Lisatown,App Store,36,31334.23,2024-01-27,1
C100183,East Jessetown,Organic,1,740.6,2024-03-22,0
C100184,Lisatown,Paid Search,4,1205.43,2024-01-25,0
C100185,East Jessetown,Organic,1,482.47,2024-04-04,0
C100186,East Jessetown,Organic,1,328.91,2023-12-29,0
C100187,Lisatown,Organic,1,601.26,2023-08-29,0
C100188,Robinsonshire,App Store,1,654.9,2025-06-26,0
C100189,Robinsonshire,Referral,9,3894.93,2024-09-29,1
C100190,East Jessetown,App Store,9,5435.59,2023-11-21,1
C100191,Lake Debra,Paid Search,1,17.63,2024-07-11,0
C100192,North Judithbury,App Store,1,73.87,2024-04-26,0
C100193,Lisatown,Paid Search,44,48007.05,2024-10-27,1
C100194,Robinsonshire,Paid Search,1,229.29,2024-07-16,0
C100195,North Noahstad,Social Media,1,187.31,2025-02-25,0
C100196,Robinsonshire,Social Media,1,276.59,2023-10-15,0
C100197,Lake Debra,Paid Search,1,377.9,2024-02-25,0
C100198,North Judithbury,App Store,1,495.64,2024-09-02,0
C100199,East Jill,Organic,1,502.47,2024-07-06,0
C100200,East Jessetown,Paid Search,1,164.45,2024-03-31,0
C100201,East Jessetown,App Store,1,1230.98,2025-01-25,0
C100202,East Jessetown,Paid Search,10,3504.0,2024-04-08,1
C100203,East Jessetown,Organic,6,3169.49,2024-03-16,0
C100204,Lake Roberto,Organic,1,1037.39,2024-06-16,0
C100205,East Jill,Social Media,15,14685.1,2024-08-11,1
C100206,East Jessetown,Social Media,1,1186.19,2023-11-14,0
C100207,East Jill,App Store,1,208.62,2024-08-19,0
C100208,East Jessetown,Paid Search,1,131.79,2024-01-08,0
C100209,Lisatown,App Store,1,120.05,2024-01-11,0
C100210,North Judithbury,Referral,31,24871.08,2024-10-17,1
C100211,East Jessetown,Social Media,1,678.25,2024-07-30,0
C100212,North Judithbury,Referral,9,3180.77,2025-05-11,1
C100213,North Noahstad,App Store,1,1094.15,2023-12-25,0
C100214,Lake Roberto,Organic,1,239.33,2024-07-03,0
C100215,New Roberttown,Organic,1,227.19,2023-10-22,0
C100216,East Jill,Paid Search,1,922.22,2024-03-26,0
C100217,North Judithbury,Referral,37,18100.38,2025-02-06,1
C100218,Lake Debra,Social Media,24,12931.36,2024-07-08,1
C100219,Lake Roberto,Social Media,17,12402.63,2025-03-28,1
C100220,Robinsonshire,Organic,21,23551.77,2024-10-23,1
C100221,Ericmouth,Paid Search,1,1122.52,2025-02-11,0
C100222,East Jessetown,Organic,21,17067.76,2023-10-05,1
C100223,New Roberttown,App Store,0,0.0,,0
C100224,Lake Debra,Social Media,13,18877.1,2025-04-04,1
C100225,New Roberttown,Social Media,1,433.96,2023-08-29,0
C100226,North Noahstad,Organic,1,54.11,2023-10-07,0
C100227,East Jill,Paid Search,2,689.23,2025-04-14,1
C100228,Lake Debra,Paid Search,19,10689.25,2025-01-13,1
C100229,Robinsonshire,App Store,11,4414.43,2025-05-29,1
C100230,North Judithbury,Social Media,1,231.23,2024-09-08,0
C100231,Lake Debra,Organic,1,919.42,2025-04-27,0
C100232,Lake Debra,Organic,1,89.75,2024-06-19,0
C100233,New Roberttown,App Store,1,1130.98,2025-02-15,0
C100234,East Jill,Organic,1,415.63,2023-10-08,0
C100235,North Judithbury,Social Media,15,8559.68,2024-11-26,1
C100236,North Judithbury,Organic,17,11875.21,2024-02-14,1
C100237,Lake Debra,Referral,12,6143.03,2024-07-08,1
C100238,North Judithbury,App Store,1,328.96,2025-04-04,0
C100239,North Noahstad,Referral,1,224.68,2024-05-20,0
C100240,New Roberttown,App Store,12,8428.23,2023-09-03,1
C100241,Lisatown,App Store,11,6112.06,2024-09-09,1
C100242,Lisatown,Organic,33,25612.89,2023-08-14,1
C100243,Lake Debra,Organic,1,194.57,2024-06-11,0
C100244,Ericmouth,Referral,52,33488.51,2023-11-13,1
C100245,East Jill,App Store,6,1255.32,2024-05-02,0
C100246,New Roberttown,Organic,22,19658.45,2024-11-17,1
C100247,New Roberttown,Social Media,1,1714.08,2024-09-12,0
C100248,East Jill,Social Media,1,856.99,2023-12-17,0
C100249,New Roberttown,Organic,6,3740.85,2025-05-08,1
C100250,East Jessetown,Referral,37,21012.08,2023-11-03,1
C100251,Lake Roberto,Organic,1,591.61,2023-12-14,0
C100252,East Jessetown,Organic,16,9075.2,2024-11-01,1
C100253,Ericmouth,Organic,11,5733.22,2023-10-14,1
C100254,Lake Roberto,Paid Search,1,259.62,2025-06-17,0
C100255,North Noahstad,Organic,1,214.29,2023-10-24,0
C100256,East Jill,Organic,1,319.65,2024-04-10,0
C100257,North Noahstad,Paid Search,11,8583.08,2024-11-24,1
C100258,Lisatown,Paid Search,1,277.82,2025-01-09,0
C100259,North Noahstad,App Store,29,23578.01,2025-03-29,1
C100260,East Jessetown,App Store,1,2324.1,2024-07-02,0
C100261,North Noahstad,Referral,15,7873.97,2025-01-17,1
C100262,Robinsonshire,Paid Search,1,829.59,2024-11-06,0
C100263,North Judithbury,App Store,1,403.99,2024-04-28,0
C100264,Lake Debra,App Store,1,1362.03,2023-11-06,0
C100265,East Jill,Organic,9,4424.73,2024-08-19,1
C100266,North Noahstad,App Store,1,442.7,2025-01-21,0
C100267,East Jessetown,Social Media,4,1530.4,2023-08-10,0
C100268,New Roberttown,Referral,30,17230.84,2024-08-29,1
C100269,Robinsonshire,App Store,1,430.71,2024-06-09,0
C100270,Lake Debra,Referral,15,6127.29,2025-05-03,1
C100271,North Judithbury,Social Media,1,537.9,2024-12-28,0
C100272,Ericmouth,Organic,1,528.51,2025-02-13,0
C100273,Ericmouth,Paid Search,1,151.94,2025-01-29,0
C100274,Lake Roberto,App Store,1,278.63,2024-03-24,0
C100275,Lisatown,App Store,1,842.12,2024-09-20,0
C100276,Lake Debra,Organic,1,622.87,2023-12-19,0
C100277,Robinsonshire,App Store,1,522.76,2025-03-02,0
C100278,Robinsonshire,Organic,1,437.26,2024-03-01,0
C100279,East Jill,Organic,4,2059.63,2024-03-11,0
C100280,North Judithbury,Organic,1,124.27,2025-02-06,0
C100281,New Roberttown,Organic,1,710.43,2023-09-04,0
C100282,Lake Debra,Paid Search,1,175.33,2025-02-24,0
C100283,East Jill,Organic,1,245.9,2024-07-12,0
C100284,East Jill,Paid Search,0,0.0,,0
C100285,Ericmouth,Paid Search,1,349.05,2025-06-29,0
C100286,East Jessetown,Social Media,15,11334.28,2025-03-25,1
C100287,Robinsonshire,Referral,1,1165.53,2025-04-17,0
C100288,Robinsonshire,App Store,1,147.59,2025-04-04,0
C100289,Lake Roberto,Paid Search,1,458.48,2025-04-07,0
C100290,Lake Roberto,Organic,12,11434.69,2023-08-16,1
C100291,New Roberttown,Organic,23,12702.74,2024-09-22,1
C100292,Ericmouth,Organic,1,501.73,2024-08-02,0
C100293,East Jessetown,App Store,1,661.58,2025-06-04,0
C100294,Ericmouth,Referral,11,8610.72,2024-01-26,1
C100295,Lake Debra,Organic,0,0.0,,0
C100296,East Jill,Social Media,1,211.01,2023-12-19,0
C100297,Lake Roberto,App Store,26,26403.64,2024-05-21,1
C100298,North Judithbury,Organic,1,261.42,2023-11-11,0
C100299,Lake Roberto,Paid Search,1,468.72,2024-10-25,0
C100300,North Judithbury,Organic,1,829.41,2023-09-29,0
C100301,New Roberttown,Organic,1,554.96,2024-08-14,0
C100302,Lisatown,Organic,1,71.97,2024-10-27,0
C100303,North Noahstad,Organic,29,20750.24,2024-11-22,1
C100304,Lake Debra,App Store,1,461.8,2023-10-15,0
C100305,East Jill,Referral,32,23481.88,2024-04-08,1
C100306,New Roberttown,Paid Search,1,230.09,2024-04-28,0
C100307,Ericmouth,Paid Search,1,522.55,2025-06-17,0
C100308,Lake Roberto,Organic,24,7981.23,2024-01-05,1
C100309,East Jill,Social Media,1,468.49,2025-05-22,0
C100310,East Jessetown,App Store,1,954.73,2024-01-02,0
C100311,New Roberttown,Paid Search,1,304.45,2025-02-07,0
C100312,East Jill,Organic,1,579.83,2025-01-10,0
C100313,Ericmouth,Social Media,1,803.79,2023-07-28,0
C100314,Lisatown,Referral,1,420.9,2024-09-24,0
C100315,East Jill,Referral,1,265.24,2024-01-09,0
C100316,Lisatown,Paid Search,1,289.5,2023-07-29,0
C100317,Lake Debra,Organic,25,14564.6,2025-05-21,1
C100318,North Judithbury,App Store,1,262.23,2025-01-09,0
C100319,Lake Debra,Organic,12,6348.25,2025-02-14,1
C100320,East Jill,Paid Search,1,460.29,2024-10-14,0
C100321,New Roberttown,Organic,11,7069.04,2024-01-08,1
C100322,Ericmouth,Organic,1,677.09,2024-10-10,0
C100323,Lake Roberto,Social Media,1,200.35,2024-08-26,0
C100324,East Jill,Organic,1,918.76,2024-10-30,0
C100325,Ericmouth,Organic,1,1066.93,2023-07-22,0
C100326,Robinsonshire,Social Media,1,506.62,2024-07-06,0
C100327,Ericmouth,Paid Search,13,8036.35,2025-03-01,1
C100328,Lake Roberto,Social Media,1,804.55,2024-05-09,0
C100329,East Jessetown,Organic,1,903.47,2024-07-03,0
C100330,Robinsonshire,Organic,32,21321.19,2025-04-27,1
C100331,Robinsonshire,Social Media,1,875.22,2024-06-26,0
C100332,Lake Roberto,Organic,1,1656.82,2024-06-14,0
C100333,New Roberttown,Social Media,1,100.64,2023-10-17,0
C100334,East Jessetown,App Store,4,1804.0,2024-05-22,1
C100335,New Roberttown,Paid Search,1,84.87,2023-08-01,0
C100336,New Roberttown,Organic,1,434.34,2025-03-10,0
C100337,East Jill,Paid Search,1,426.3,2025-05-27,0
C100338,North Judithbury,Organic,42,35487.18,2024-07-15,1
C100339,North Noahstad,Social Media,1,1348.03,2024-12-19,0
C100340,North Judithbury,Organic,28,13101.18,2024-09-07,1
C100341,Ericmouth,App Store,1,497.9,2024-01-09,0
C100342,North Judithbury,Organic,11,3659.97,2023-12-04,0
C100343,Lake Roberto,Referral,1,1795.96,2023-07-19,0
C100344,East Jessetown,App Store,1,333.57,2024-12-21,0
C100345,Robinsonshire,Organic,1,218.19,2024-10-14,0
C100346,New Roberttown,Paid Search,5,3781.11,2023-11-13,1
C100347,Lake Debra,Paid Search,1,166.87,2025-03-30,0
C100348,Lake Debra,Social Media,1,177.92,2023-08-15,0
C100349,Robinsonshire,App Store,1,517.2,2024-06-08,0
C100350,East Jessetown,Organic,27,12074.57,2023-07-19,1
C100351,Robinsonshire,Organic,51,15778.75,2024-10-29,1
C100352,Ericmouth,Organic,21,12743.48,2024-06-17,1
C100353,Lake Debra,App Store,26,16545.77,2025-06-01,1
C100354,East Jessetown,Paid Search,1,712.24,2024-10-06,0
C100355,East Jill,Organic,1,332.97,2024-06-20,0
C100356,East Jessetown,Referral,1,575.35,2024-05-17,0
C100357,East Jill,Organic,14,12799.47,2025-02-19,1
C100358,East Jill,App Store,1,597.36,2025-03-02,0
C100359,North Noahstad,Referral,1,27.04,2024-03-11,0
C100360,North Judithbury,Organic,1,132.54,2025-05-24,0
C100361,Lake Debra,Referral,1,122.54,2023-07-14,0
C100362,Ericmouth,Referral,1,23.9,2025-03-11,0
C100363,North Noahstad,Social Media,1,200.59,2025-03-21,0
C100364,East Jill,Paid Search,1,240.1,2024-04-03,0
C100365,East Jill,Organic,15,8179.1,2025-05-28,1
C100366,East Jessetown,Organic,1,192.01,2024-06-21,0
C100367,Robinsonshire,Organic,19,15579.01,2023-08-13,1
C100368,North Noahstad,Social Media,1,198.34,2024-03-18,0
C100369,New Roberttown,App Store,19,10698.22,2024-10-17,1
C100370,East Jill,App Store,1,259.94,2024-06-27,0
C100371,New Roberttown,App Store,10,6616.88,2024-12-04,1
C100372,Ericmouth,Paid Search,1,317.75,2025-03-18,0
C100373,North Judithbury,Referral,1,391.97,2025-03-28,0
C100374,East Jessetown,Organic,1,643.31,2024-10-12,0
C100375,East Jill,Organic,15,15918.49,2024-11-10,1
C100376,East Jill,App Store,1,58.7,2023-11-18,0
C100377,North Noahstad,Referral,39,32821.4,2025-02-20,1
C100378,North Judithbury,Paid Search,0,0.0,,0
C100379,East Jessetown,Social Media,1,1211.02,2024-12-21,0
C100380,North Noahstad,Paid Search,1,615.01,2024-05-24,0
C100381,Lisatown,Paid Search,1,171.4,2024-04-07,0
C100382,North Judithbury,App Store,1,1042.66,2024-12-17,0
C100383,Lake Debra,Paid Search,1,431.43,2023-10-12,0
C100384,North Noahstad,Social Media,1,508.14,2023-12-10,0
C100385,Lake Debra,Organic,16,9881.9,2025-04-20,1
C100386,Robinsonshire,Social Media,1,102.81,2024-06-17,0
C100387,Robinsonshire,Paid Search,1,333.41,2025-05-31,0
C100388,Lisatown,Social Media,1,248.71,2024-07-29,0
C100389,East Jill,Social Media,1,530.76,2023-07-24,0
C100390,Ericmouth,Organic,11,4824.25,2024-10-31,1
C100391,North Noahstad,Paid Search,1,257.28,2024-11-27,0
C100392,East Jill,Organic,37,19832.33,2025-02-28,1
C100393,Ericmouth,Social Media,1,466.77,2023-09-10,0
C100394,Ericmouth,Social Media,17,10077.62,2024-08-16,1
C100395,Lake Roberto,App Store,11,7233.96,2024-12-05,1
C100396,East Jessetown,Organic,1,330.21,2023-08-21,0
C100397,Lake Debra,Social Media,1,797.81,2023-12-09,0
C100398,Ericmouth,Organic,31,21136.22,2025-03-29,1
C100399,East Jill,Organic,1,953.88,2025-06-16,0
C100400,Ericmouth,Organic,1,1094.62,2023-12-08,0
C100401,North Noahstad,Social Media,1,417.27,2024-12-31,0
C100402,Lisatown,Referral,1,493.26,2024-09-25,0
C100403,East Jessetown,Organic,1,405.1,2024-11-28,0
C100404,Robinsonshire,Paid Search,31,23882.18,2024-10-20,1
C100405,North Judithbury,App Store,1,1104.03,2023-12-08,0
C100406,North Noahstad,Paid Search,1,569.38,2023-07-17,0
C100407,East Jessetown,App Store,9,3722.78,2023-12-27,1
C100408,North Judithbury,Organic,1,778.04,2024-02-28,0
C100409,Lake Roberto,Social Media,1,394.51,2024-08-15,0
C100410,Lisatown,Organic,26,13109.38,2024-04-24,1
C100411,Lisatown,Paid Search,1,159.94,2023-10-31,0
C100412,North Judithbury,Organic,1,1013.46,2025-06-27,0
C100413,Lake Roberto,Paid Search,1,540.2,2024-02-19,0
C100414,Lisatown,App Store,1,545.61,2024-05-30,0
C100415,Lake Roberto,Paid Search,1,275.71,2025-05-03,0
C100416,Ericmouth,Organic,1,58.33,2024-10-17,0
C100417,New Roberttown,Social Media,22,7479.03,2024-06-02,1
C100418,New Roberttown,Referral,16,7613.01,2023-10-10,1
C100419,North Noahstad,Paid Search,1,219.08,2024-03-09,0
C100420,Robinsonshire,Organic,40,28233.27,2025-06-23,1
C100421,Lake Debra,App Store,32,24958.7,2025-03-22,1
C100422,New Roberttown,Social Media,1,867.91,2024-03-25,0
C100423,Lisatown,App Store,1,540.87,2024-11-01,0
C100424,Lake Roberto,Social Media,1,539.18,2023-12-24,0
C100425,North Judithbury,Social Media,1,233.08,2024-05-31,0
C100426,Robinsonshire,Organic,1,272.84,2024-08-11,0
C100427,North Noahstad,Social Media,1,3228.02,2025-01-15,0
C100428,New Roberttown,App Store,20,20169.39,2024-04-14,1
C100429,New Roberttown,App Store,0,0.0,,0
C100430,Ericmouth,Organic,1,489.65,2024-01-15,0
C100431,North Judithbury,App Store,26,9922.93,2023-09-20,1
C100432,East Jessetown,Paid Search,1,476.14,2024-03-31,0
C100433,Lake Debra,Paid Search,1,533.1,2024-02-03,0
C100434,Lake Roberto,Paid Search,1,379.09,2025-07-02,0
C100435,East Jill,Social Media,1,59.08,2024-02-22,0
C100436,Lake Debra,Referral,1,386.58,2024-11-05,0
C100437,East Jill,App Store,1,853.4,2025-04-23,0
C100438,Lake Roberto,Organic,22,13305.2,2023-10-06,1
C100439,Lisatown,Social Media,1,767.02,2025-06-10,0
C100440,Lake Debra,Organic,1,551.75,2024-09-06,0
C100441,East Jessetown,Paid Search,1,288.09,2023-08-16,0
C100442,East Jill,Organic,28,23718.99,2023-07-16,1
C100443,North Noahstad,Referral,25,11133.95,2025-04-19,1
C100444,Lisatown,Paid Search,1,145.8,2024-06-05,0
C100445,East Jessetown,Organic,15,8576.88,2025-03-02,1
C100446,Lake Debra,Referral,1,862.72,2023-12-17,0
C100447,Lake Roberto,App Store,1,187.44,2023-11-20,0
C100448,Lake Roberto,Paid Search,1,231.39,2025-03-16,0
C100449,Lake Debra,Organic,26,13692.88,2024-06-15,1
C100450,East Jessetown,Organic,1,32.05,2023-09-10,0
